PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20070207,XOM,EXXON MOBIL CORP,20678,30231G10,74.79000,-0.004638
11850,20070208,XOM,EXXON MOBIL CORP,20678,30231G10,75.46000,0.008958
11850,20070209,XOM,EXXON MOBIL CORP,20678,30231G10,75.22000,-0.003180
11850,20070212,XOM,EXXON MOBIL CORP,20678,30231G10,74.60000,-0.008243
11850,20070213,XOM,EXXON MOBIL CORP,20678,30231G10,75.45000,0.011394
11850,20070214,XOM,EXXON MOBIL CORP,20678,30231G10,75.60000,0.001988
11850,20070215,XOM,EXXON MOBIL CORP,20678,30231G10,75.34000,-0.003439
11850,20070216,XOM,EXXON MOBIL CORP,20678,30231G10,75.29000,-0.000664
11850,20070220,XOM,EXXON MOBIL CORP,20678,30231G10,74.87000,-0.005578
11850,20070221,XOM,EXXON MOBIL CORP,20678,30231G10,74.78000,-0.001202
11850,20070222,XOM,EXXON MOBIL CORP,20678,30231G10,75.08000,0.004012
11850,20070223,XOM,EXXON MOBIL CORP,20678,30231G10,75.22000,0.001865
11850,20070226,XOM,EXXON MOBIL CORP,20678,30231G10,75.40000,0.002393
11850,20070227,XOM,EXXON MOBIL CORP,20678,30231G10,71.83000,-0.047347
11850,20070228,XOM,EXXON MOBIL CORP,20678,30231G10,71.68000,-0.002088
11850,20070301,XOM,EXXON MOBIL CORP,20678,30231G10,70.99000,-0.009626
11850,20070302,XOM,EXXON MOBIL CORP,20678,30231G10,70.01000,-0.013805
11850,20070305,XOM,EXXON MOBIL CORP,20678,30231G10,69.98000,-0.000428
11850,20070306,XOM,EXXON MOBIL CORP,20678,30231G10,71.00000,0.014576
11850,20070307,XOM,EXXON MOBIL CORP,20678,30231G10,71.64000,0.009014
11850,20070308,XOM,EXXON MOBIL CORP,20678,30231G10,71.85000,0.002931
11850,20070309,XOM,EXXON MOBIL CORP,20678,30231G10,71.12000,-0.010160
11850,20070312,XOM,EXXON MOBIL CORP,20678,30231G10,70.87000,-0.003515
11850,20070313,XOM,EXXON MOBIL CORP,20678,30231G10,69.91000,-0.013546
11850,20070314,XOM,EXXON MOBIL CORP,20678,30231G10,71.02000,0.015877
11850,20070315,XOM,EXXON MOBIL CORP,20678,30231G10,70.69000,-0.004646
11850,20070316,XOM,EXXON MOBIL CORP,20678,30231G10,69.86000,-0.011741
11850,20070319,XOM,EXXON MOBIL CORP,20678,30231G10,71.10000,0.017750
